Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
949,H.B. Fuller,Chemicals,Chemicals,"St. Paul, MN",2084,87,4425
950,Vista Outdoor,Household Products,Miscellaneous,"Clearfield, UT",2083,80,5200
951,On Assignment,Business Services,Temporary Help,"Calabasas, CA",2077,98,3320
952,Verisk Analytics,Business Services,Financial Data Services,"Jersey City, NJ",2068,508,7783
953,Par Pacific Holdings,Energy,Petroleum Refining,"Houston, TX",2066,-40,744
954,Alliance One International,"Food, Beverages & Tobacco",Tobacco,"Morrisville, NC",2066,-15,6835
955,Whiting Petroleum,Energy,"Mining, Crude-Oil Production","Denver, CO",2051,-2219,1200
956,Waters,Technology,"Scientific,Photographic and Control Equipment","Milford, MA",2042,469,6594
957,Tower International,Motor Vehicles & Parts,Motor Vehicles and Parts,"Livonia, MI",2042,194,8300
958,Woodward,Aerospace & Defense,Aerospace and Defense,"Fort Collins, CO",2038,182,6955
959,Stewart Information Services,Financials,Insurance: Property and Casualty (Stock),"Houston, TX",2034,-6,6900
960,PharMerica,Health Care,Health Care: Pharmacy and Other Services,"Louisville, KY",2029,35,5200
961,Wabash National,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lafayette, IN",2028,104,5300
962,Ferrellgas Partners,Energy,Energy,"Overland Park, KS",2024,30,4028
963,Dycom Industries,Engineering & Construction,"Engineering, Construction","Palm Beach Gardens, FL",2022,84,11159
964,IDEX,Industrials,Industrial Machinery,"Lake Forest, IL",2021,283,6801
965,Bio-Rad Laboratories,Health Care,Medical Products and Equipment,"Hercules, CA",2019,113,7770
966,QEP Resources,Energy,"Mining, Crude-Oil Production","Denver, CO",2019,-149,693
967,Griffon,Household Products,"Home Equipment, Furnishings","New York, NY",2016,34,6000
968,American Greetings,Media,"Publishing, Printing","Cleveland, OH",2011,65,17650
969,Tribune Media,Media,Entertainment,"Chicago, IL",2011,-320,8000
970,Rackspace Hosting,Technology,Internet Services and Retailing,"San Antonio, TX",2001,126,6189
971,VeriFone Systems,Technology,"Computers, Office Equipment","San Jose, CA",2001,79,5400
972,Genesee & Wyoming,Transportation,Railroads,"Darien, CT",2000,225,7500
973,99 Cents Only Stores,Retailing,Specialty Retailers: Other,"Commerce, CA",1999,-232,18200
974,Roadrunner Transportation Systems,Transportation,Transportation and Logistics,"Cudahy, WI",1995,48,4502
975,Super Micro Computer,Technology,"Computers, Office Equipment","San Jose, CA",1991,102,2285
976,First Republic Bank,Financials,Commercial Banks,"San Francisco, CA",1989,522,3130
977,Hill-Rom Holdings,Health Care,Medical Products and Equipment,"Chicago, IL",1988,48,10000
978,Providence Service,Health Care,Health Care: Pharmacy and Other Services,"Tucson, AZ",1987,84,9072
979,Allison Transmission Holdings,Motor Vehicles & Parts,Motor Vehicles and Parts,"Indianaoplis, IN",1986,182,2700
980,Spire,Energy,Utilities: Gas and Electric,"St. Louis, MO",1976,137,3078
981,WPX Energy,Energy,"Mining, Crude-Oil Production","Tulsa, OK",1958,-1727,1040
982,Century Aluminum,Materials,Metals,"Chicago, IL",1950,-59,1778
983,Adams Resources & Energy,Energy,Petroleum Refining,"Houston, TX",1944,-1,809
984,Nuance Communications,Technology,Computer Software,"Burlington, MA",1931,-115,13500
985,Primoris Services,Engineering & Construction,"Engineering, Construction","Dallas, TX",1929,37,7011
986,Schnitzer Steel Industries,Materials,Metals,"Portland, OR",1924,-197,2955
987,Delta Tucker Holdings,Aerospace & Defense,Aerospace and Defense,"McLean, VA",1923,-133,12000
988,Hospitality Properties Trust,Financials,Real estate,"Newton, MA",1922,166,400
989,Cenveo,Media,"Publishing, Printing","Stamford, CT",1921,-31,7300
990,F5 Networks,Technology,Network and Other Communications Equipment,"Seattle, WA",1920,365,4178
991,BlueLinx Holdings,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",1917,-12,1600
992,Revlon,Household Products,Household and Personal Products,"New York, NY",1914,56,5700
993,DeVry Education Group,Business Services,Education,"Downers Grove, IL",1910,140,11770
994,MDC Holdings,Engineering & Construction,Homebuilders,"Denver, CO",1909,66,1225
995,EP Energy,Energy,"Mining, Crude-Oil Production","Houston, TX",1908,-3748,665
996,New York Community Bancorp,Financials,Commercial Banks,"Westbury, NY",1902,-47,3448
997,Portland General Electric,Energy,Utilities: Gas and Electric,"Portland, OR",1898,172,2646
997,Portland General Electric,Energy,Utilities: Gas and Electric,"Portland, OR",1898,172,2646
999,Wendy’s,"Hotels, Resturants & Leisure",Food Services,"Dublin, OH",1896,161,21200
1000,Briggs & Stratton,Industrials,Industrial Machinery,"Wauwatosa, WI",1895,46,5480
